,state_id,county_name
1135,43,Warren
1136,25,Fayette
1137,4,Crawford
1138,28,Wayne
1139,10,Henry
1140,7,Crawford
1141,0,Phillips
1142,15,Fauquier
1143,24,Churchill
1144,21,Knox
1145,7,Seward
1146,41,Carroll
1147,19,Fresno
1148,4,Dodge
1149,20,Tompkins
1150,37,Harrison
1151,21,Hamilton
1152,34,Madison
1153,3,Calcasieu
1154,0,Adams
1155,27,DeKalb
1156,39,Snyder
1157,22,Codington
1158,38,Adams
1159,31,Champaign
1160,32,Jackson
1161,31,White
1162,1,Delaware
1163,31,Sangamon
1164,38,Bolivar
1165,19,Inyo
1166,39,Centre
1167,0,Kit Carson
1168,32,Clay
1169,4,Dunn
1170,17,Jackson
1171,27,Crisp
1172,4,Langlade
1173,46,Belknap
1174,43,Hardin
1175,26,Erath
1176,18,Richland
1177,0,Rio Blanco
1178,15,Orange
1179,22,Custer
1180,27,Whitfield
1181,38,Lafayette
1182,15,Roanoke City
1183,27,Early
1184,34,Hancock
1185,11,Roosevelt County
1186,32,Benton
1187,13,Williamsburg
1188,13,Aiken
1189,13,Laurens
1190,10,Barry
1191,10,St. Charles
1192,32,Montgomery
1193,3,Washington
1194,30,Shelby
1195,15,Norfolk
1196,33,Okanogan
1197,0,Pueblo
1198,26,Caldwell
1199,26,Wichita
1200,2,Cook
1201,21,Fulton
1202,6,Gogebic
1203,25,Crawford
1204,45,Yellowstone
1205,20,Monroe
1206,1,McCurtain
1207,15,Essex
1208,38,Coahoma
1209,39,Chester
1210,27,Fulton
1211,25,Cass
1212,41,Washington
1213,36,Columbia
1214,28,Hamilton
1215,26,Gaines
1216,4,Sawyer
1217,25,Clay
1218,35,Carbon
1219,40,Lincoln
1220,38,Tunica
1221,43,Boone
1222,18,Burleigh
1223,36,Walton
1224,31,Vermilion
1225,2,Cass
1226,29,Rutherford
1227,2,Aitkin
1228,26,Hemphill
1229,36,Seminole
1230,44,Orleans
1231,2,Mower
1232,2,Winona
1233,31,Whiteside
1234,40,Piscataquis
1235,7,Ellis
1236,27,Paulding
1237,8,Johnson
1238,20,Yates
1239,15,Chesterfield
1240,12,Halifax
1241,19,San Benito
1242,26,Walker
1243,2,Chisago
1244,37,Berkeley
1245,25,Cherokee
1246,6,Allegan
1247,45,Park
1248,26,Collin
1249,47,Kent
1250,6,Mason
1251,11,Cibola
1252,26,Reeves
1253,32,Mississippi
1254,4,Green
1255,28,Holt
1256,10,Miller
1257,33,Whitman
1258,11,Chaves
1259,4,Lincoln
1260,29,Montgomery
1261,29,Maury
1262,38,Harrison
1263,1,Choctaw
1264,40,York
1265,36,Alachua
1266,18,Wells
1267,5,Cassia
1268,11,Curry
1269,30,Lee
1270,11,Socorro
1271,31,Lawrence
